RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
B0059,T. virgaticeps,0,5,24.8,46.8,19.3,82,27.9,19-Jul,7,San Jose,2004
B0058,X. guttatus,0,5,41.6,67,20,108,57,19-Jul,7,San Jose,2004
C1248,C. nigromaculata,0,3,21.9,44.5,34.1,94,20,19-Jul,8,San Jose,2004
AA0216,L. coronata,0,4,11,25.2,14.6,59,9,19-Jul,8,San Jose,2004
A0255,M. tuberculifer,0,5,21.6,41,16.7,79,48,19-Jul,8,San Jose,2004
A0250,P. filicauda,0,3,12.5,29.6,16.9,64,14,19-Jul,8,San Jose,2004
A0251,P. filicauda,0,4,13,31.4,13.4,63,14.5,19-Jul,8,San Jose,2004
A0252,P. filicauda,0,6,12.7,30.1,16.2,64,13.6,19-Jul,8,San Jose,2004
A0253,P. filicauda,0,3,14,30.4,18.1,65,13.5,19-Jul,8,San Jose,2004
A0254,P. filicauda,0,4,13.8,31.1,15.2,64,14.6,19-Jul,8,San Jose,2004
0,P. malaris,0,5,49,59.7,,65,6.7,19-Jul,8,San Jose,2004
0,P. malaris,1,5,,,,,6,19-Jul,8,San Jose,2004
B0060,X. spixii,0,5,31.6,54.2,18.8,89,34,19-Jul,8,San Jose,2004
0,C. oenone,0,3,24.6,35.5,,54,4.5,19-Jul,9,San Jose,2004
AA0217,L. coronata,0,4,10.4,27,17.4,59,,19-Jul,10,San Jose,2004
AA0218,M. oleagineus,0,2,12.9,26.8,15.7,59,11.5,19-Jul,10,San Jose,2004
0,P. bourcieri,0,5,34.8,45.8,,54,4,19-Jul,10,San Jose,2004
0,T. furcata,0,4,24,34.1,,50,4.1,19-Jul,10,San Jose,2004
A0245,H. naevia,1,,,,,,14,19-Jul,11,San Jose,2004
AA0219,L. coronata,0,4,11.1,26.4,15.3,60,10.2,19-Jul,11,San Jose,2004
0,P. bourcieri,0,5,34.4,45,,54,4,19-Jul,11,San Jose,2004
A0257,P. erythrocephala,0,3,10.3,27.6,14.7,57,11.5,19-Jul,11,San Jose,2004
A0258,P. filicauda,1,3,126,30.1,15.1,65,14.6,19-Jul,11,San Jose,2004
B0061,P. pyrrhodes,0,5,21.1,39.9,21.1,92,32.5,19-Jul,11,San Jose,2004
B0062,P. pyrrhodes,0,5,19.4,38.3,16.9,80,26,19-Jul,11,San Jose,2004
A0256,T. surinamus,0,3,17.2,34,14.5,77,20.1,19-Jul,11,San Jose,2004
A0259,H. poecilinota,0,3,19.5,38,22.1,67,19.5,20-Jul,8,San Jose,2004
