RING NO.,SPECIES,HISTORY,SEX,BILL,HEAD,TARSUS,WING,WEIGHT,DATE,TIME,LOCATION,YEAR
A0419,P. pyrrhodes,0,5,19.6,41.8,23.4,86,32.1,22-Jun,8,San Jose,2006
HBA43859,T. niger,0,5,28.5,45.3,,56,5.7,23-Jun,7,San Jose,2006
A420,C. torquata,0,5,16,33.8,28.2,67,15,23-Jun,7,San Jose,2006
AA0431,M. hauxwelli,0,3,14,31.3,18.6,51,10.8,23-Jun,7,San Jose,2006
A0421,M. myotherinus,0,3,18.1,37.6,25,67,20.4,23-Jun,7,San Jose,2006
A0422,P. albifrons,0,5,14,32.5,21.8,71,20,23-Jun,8,San Jose,2006
A0412,P. albifrons,1,5,,,,,20,23-Jun,8,San Jose,2006
HBA43862,P. bourcieri,0,,,48.2,,,,23-Jun,8,San Jose,2006
A0423,T. caesius,0,3,16.3,36.5,15,70,18.5,23-Jun,8,San Jose,2006
C1270,T. albicollis,0,1,15.5,42.8,38.4,104,27,23-Jun,8,San Jose,2006
C1271,C. auratus,0,4,21.8,50.2,23.5,86,57.5,23-Jun,8,San Jose,2006
A0424,P. albifrons,0,5,17.2,35.6,23.3,72,20,23-Jun,8,San Jose,2006
AA0432,L. coronata,0,4,10.7,27,14.2,60,9.9,23-Jun,8,San Jose,2006
AA0433,L. coronata,0,3,6.9,24.8,13,57,8.5,23-Jun,9,San Jose,2006
A0425,H. poecilinota,0,3,17,38.3,28.7,64,18,23-Jun,9,San Jose,2006
HBA43863,P. malaris,0,5,37.5,50.1,,58,5.9,23-Jun,9,San Jose,2006
AA0434,L. coronata,0,4,9.7,28,16.2,54,10.5,23-Jun,9,San Jose,2006
AA0435,L. coronata,0,4,10.6,26.9,13.3,58,10,23-Jun,11,San Jose,2006
AA0436,L. coronata,0,4,11.1,26.7,12.3,59,10.1,23-Jun,11,San Jose,2006
A0420,C. torquata,,,,,,,15.2,23-Jun,11,San Jose,2006
HBA43864,E. condamini,0,5,29.8,41.4,,77,13,24-Jun,7,San Jose,2006
B0148,A. melanopezus,0,5,18.7,43.9,21.1,86,31,24-Jun,7,San Jose,2006
A0426,C. cyanoides,0,4,15,35.1,19.1,73,23.6,24-Jun,7,San Jose,2006
A0427,P. erythrocephala,0,4,6.5,21.9,12.2,63,13.9,24-Jun,7,San Jose,2006
A0428,H. naevia,0,4,18.7,41,21.6,58,15.6,24-Jun,7,San Jose,2006
AA0437,L. coronata,0,4,12.6,24.9,13.1,56,9.9,24-Jun,7,San Jose,2006
AA03438,M. regulus,0,3,10.2,31.6,16,54,10.2,24-Jun,7,San Jose,2006
AA0439,L. coronata,0,4,7.3,24.8,11.5,60,8.8,24-Jun,7,San Jose,2006
A0429,X. minutus,0,5,17.5,32.4,13.7,68,12,24-Jun,7,San Jose,2006
A0430,H. naevia,0,3,16.4,34.8,17.7,62,13,24-Jun,7,San Jose,2006
B0149,A. melanopezus,0,1,18.5,43.1,20.6,89,34,24-Jun,7,San Jose,2006
A0431,P. erythrocephala,0,4,9.5,29.9,13.9,65,13.2,24-Jun,7,San Jose,2006
A0432,P. albifrons,0,1,16.6,35.7,27.5,69,17,24-Jun,7,San Jose,2006
AA0440,L. coronata,0,4,8.1,26.8,13.7,58,10.4,24-Jun,7,San Jose,2006
AA0441,G. spirurus,0,5,13.1,30.4,16.1,69,14,24-Jun,7,San Jose,2006
AA0442,G. spirurus,0,5,10,29.5,15.3,71,13,24-Jun,8,San Jose,2006
A0433,R. olivaceous,0,5,17.6,37.5,17.4,75,22.7,24-Jun,8,San Jose,2006
AA0443,L. coronata,0,4,7.8,26.6,13.5,58,10.5,24-Jun,8,San Jose,2006
AA0444,L. coronata,0,3,7.2,24.5,13.3,70,9,24-Jun,8,San Jose,2006
AA0445,L. coronata,0,4,7.3,21.8,12.5,56,9.5,24-Jun,8,San Jose,2006
A0432,P. filicauda,1,,,,,,18,24-Jun,10,San Jose,2006
AA0446,M. regulus,0,4,8.7,26.7,15.7,51,,24-Jun,10,San Jose,2006
C1272,M. fortis,0,4,21.9,46.1,38.1,79,51,25-Jun,7,San Jose,2006
AA0310,M. oleagineus,1,5,9.3,27.2,12.8,63,10.2,25-Jun,7,San Jose,2006
C1273,P. nigromaculata,0,5,17.1,45.3,30.3,93,51,25-Jun,7,San Jose,2006
A0434,P. erythrocephala,0,4,8.3,27.7,15.8,59,13.4,25-Jun,7,San Jose,2006
AA0447,M. hauxwelli,0,3,11.9,31.3,18.2,50,11.2,25-Jun,7,San Jose,2006
AA0443,L. coronata,1,,,,,,9.5,25-Jun,7,San Jose,2006
B0150,D. fuliginosa,0,5,27,54.7,24.9,104,42,25-Jun,7,San Jose,2006
HBA43865,P. malaris,0,5,42.2,58.2,,64,7,25-Jun,7,San Jose,2006
A0435,X. minutus,0,5,13.4,30.4,13.5,62,11.7,25-Jun,7,San Jose,2006
A0436,T. caesius,0,3,15.5,36.5,17.2,74,17,25-Jun,7,San Jose,2006
AA0448,L. coronata,0,4,8.8,28.5,13.6,60,10.5,25-Jun,9,San Jose,2006
AA0449,M. oleagineus,0,5,11.4,28,14.4,62,12.5,25-Jun,9,San Jose,2006
HBA43870,C. inda,0,3,49.5,77.9,12.9,98,53.5,25-Jun,9,San Jose,2006
AA0444,L. coronata,1,,,,,,8.8,25-Jun,9,San Jose,2006
AA0450,L. coronata,0,4,18.7,26.6,14.6,56,11,25-Jun,10,San Jose,2006
AA0451,M. regulus,0,4,9.2,26.6,11.8,63,10.5,25-Jun,10,San Jose,2006
AA0452,L. coronata,0,4,8.5,25.7,14.9,58,11.5,25-Jun,10,San Jose,2006
AA0453,M. oleagineus,0,5,9.8,27.6,15,63,10.6,25-Jun,10,San Jose,2006
AA0454,L. coronata,0,3,18.5,25.5,17.1,60,9,28-Jun,7,Bigay,2006
HBA43866,P. bourcieri,0,5,31.2,45.3,,56,4.1,28-Jun,7,Bigay,2006
A0437,P. erythrocephala,0,1,9.5,28.1,16.9,61,12.8,28-Jun,8,Bigay,2006
B0151,D. fuliginosa,0,5,30.5,55.4,24.6,109,52,28-Jun,8,Bigay,2006
AA0455,G. spirurus,0,5,10.3,30.9,14.5,74,,28-Jun,9,Bigay,2006
AA0456,L. coronata,0,3,8,25.7,16.4,61,8.7,28-Jun,9,Bigay,2006
A0438,P. albifrons,0,5,15.1,34,19.1,70,19.5,28-Jun,9,Bigay,2006
C1274,G. montana,0,3,17.5,43.4,23.8,135,111,29-Jun,6,Bigay,2006
C1275,T. albicollis,0,5,15.3,31.4,30.5,102,47,29-Jun,7,Bigay,2006
HBA43867,P. bourcieri,0,5,31.4,44.1,,50,4.1,29-Jun,7,Bigay,2006
A0439,M. olivaceus,0,5,9.9,31.5,17.5,68,14,29-Jun,8,Bigay,2006
AA0457,L. coronata,0,4,9.9,25.9,16.6,56,10,29-Jun,8,Bigay,2006
AA0457,M. hauxwelli,0,3,10,30,16,56,11,29-Jun,8,Bigay,2006
AA0459,G. spirurus,0,5,10.2,30.1,14.4,61,12.5,29-Jun,8,Bigay,2006
AA0460,M. hauxwelli,0,4,8.8,29.6,13,,,29-Jun,9,Bigay,2006
A0440,P. erythrocephala,0,4,16,31.8,19.1,51,10.2,29-Jun,9,Bigay,2006
HBA43868,P. bourcieri,0,5,32.2,46.2,,60,4,29-Jun,10,Bigay,2006
AA0461,L. coronata,0,4,7.9,27.1,14.3,56,10.2,30-Jun,6,Bigay,2006
A0441,H. poecilinota,0,3,16.1,37.8,22.7,65,18,30-Jun,7,Bigay,2006
A0442,C. torquata,0,5,14.1,34,26.9,66,16,30-Jun,7,Bigay,2006
AA0462,G. spirurus,0,5,11.8,29.8,16.3,62,14,30-Jun,7,Bigay,2006
AA0463,L. coronata,0,4,8.2,24.6,12.5,58,8.9,30-Jun,7,Bigay,2006
AA0464,G. spirurus,0,5,14.2,31.6,16.1,69,14.7,30-Jun,7,Bigay,2006
AA0465,L. coronata,0,4,9,28,12.3,54,9.8,30-Jun,8,Bigay,2006
B0152,X. ocellatus,0,5,31.7,60,21.5,106,44,30-Jun,8,Bigay,2006
A0443,X. minutus,0,5,12.2,33.7,14.2,64,8,30-Jun,8,Bigay,2006
A0444,H. poecilinota,0,4,15.7,36.4,25,67,18,30-Jun,8,Bigay,2006
AA0466,M. hauxwelli,0,3,12.6,31.6,21.4,52,12.2,30-Jun,8,Bigay,2006
AA0468,M. oleagineus,0,5,11,32.2,11.9,62,10.8,30-Jun,9,Bigay,2006
A0445,H. leucostica,0,5,14.3,36.6,23.9,58,17,30-Jun,9,Bigay,2006
AA0469,L. coronata,0,4,9.2,13,13.5,55,10.5,30-Jun,9,Bigay,2006
HBA43869,P. bourcieri,0,5,32.7,44.5,,55,4,30-Jun,9,Bigay,2006
HBA43871,P. bourcieri,0,5,32.4,46.8,,51,4.4,30-Jun,10,Bigay,2006
B0153,G. leucaspis,0,5,10.6,38.7,26.1,74,25,30-Jun,10,Bigay,2006
AA0470,G. spirurus,0,5,12.5,31.8,16.3,65,14.4,30-Jun,10,Bigay,2006
A0446,H. naevia,0,4,13.9,34.5,20.7,60,14.5,30-Jun,10,Bigay,2006
HBA43872,P. malaris,0,5,48.3,58.5,,65,6.7,30-Jun,11,Bigay,2006
AA0471,M. oleagineus,0,5,11.8,29.2,14,65,11.4,30-Jun,11,Bigay,2006
AA0472,M. oleagineus,0,5,11.4,28.6,13.1,63,11.5,30-Jun,11,Bigay,2006
AA0473,L. coronata,0,5,10.4,27.9,13.5,61,10.6,01-Jul,8,Bigay,2006
AA0474,G. spirurus,0,5,13,31.6,15,68,14.2,01-Jul,8,Bigay,2006
AA0475,G. spirurus,0,5,12,30.5,16.1,66,14.8,01-Jul,8,Bigay,2006
AA0476,L. coronata,0,3,7.7,27,13.7,60,9.3,01-Jul,8,Bigay,2006
AA0477,G. spirurus,0,5,17.1,42.4,21.7,63,17.5,01-Jul,8,Bigay,2006
A0447,T. ardesiacus,0,3,10.9,29.2,14.5,72,13,01-Jul,8,Bigay,2006
AA0478,L. coronata,0,4,10.7,26.6,14.2,59,9.5,01-Jul,8,Bigay,2006
HBA43874,E. condamini,0,5,30.9,43.4,,79,,01-Jul,10,Bigay,2006
HBA43873,T. niger,0,5,31.2,54.4,,56,6,01-Jul,10,Bigay,2006
AA0479,G. spirurus,0,5,11,29.4,12,66,13.3,01-Jul,10,Bigay,2006
AA0480,M. oleagineus,0,5,10,27.8,15.4,65,11.2,01-Jul,10,Bigay,2006
A0448,M. marginatus,0,5,18.5,38.1,20.2,60,19.3,01-Jul,11,Bigay,2006
B0161,C. cyanoides,0,3,12.7,35.9,17.3,81,24.8,16-Sep,6,Sacha Huasi,2006
AA0250,M. hauxwelli,1,3,14.7,31.2,17.9,57,12,16-Sep,7,Sacha Huasi,2006
,P. hispidus,0,5,32.9,44.8,,56,4.2,16-Sep,8,Sacha Huasi,2006
AA0496,G. spirurus,0,5,14.4,29.3,15.6,75,13.6,16-Sep,9,Sacha Huasi,2006
B0162,N. brunnea,0,5,24,44.3,14,63,17.9,16-Sep,9,Sacha Huasi,2006
A0458,C. pareola,0,4,12.2,31.6,17.4,69,19,16-Sep,9,Sacha Huasi,2006
AA0369,G. spirurus,1,5,14.4,31.4,15.4,75,15,16-Sep,10,Sacha Huasi,2006
AA0497,L. coronata,0,3,10.7,25.2,13.7,57,8.5,16-Sep,10,Sacha Huasi,2006
AA0254,L. coronata,1,4,9.7,26.8,13.1,56,11.5,16-Sep,10,Sacha Huasi,2006
AA0233,M. hauxwelli,1,4,14.8,31.5,19.7,48,12.7,16-Sep,11,Sacha Huasi,2006
AA0498,M. oleagineus,0,5,12.1,28.2,15.6,65,11,16-Sep,11,Sacha Huasi,2006
C1279,C. auratus,0,4,22.9,51.5,21.3,88,57,16-Sep,,Sacha Huasi,2006
B0163,G. leucaspis,0,5,18,37.7,26,72,24.8,18-Sep,7,Sacha Huasi,2006
AA0295,G. spirurus,1,5,12.6,29,18.8,66,14.2,18-Sep,7,Sacha Huasi,2006
AA0499,M. hauxwelli,0,4,15,31.7,17.5,54,12.4,18-Sep,7,Sacha Huasi,2006
AA0500,M. hauxwelli,0,3,13.6,31.6,22.3,55,11.9,18-Sep,7,Sacha Huasi,2006
AA0234,L. coronata,1,3,9.6,24.5,16.2,62,8.3,18-Sep,7,Sacha Huasi,2006
AA0501,L. coronata,0,4,14.4,24.9,18.2,59,9,18-Sep,7,Sacha Huasi,2006
AA0502,L. coronata,0,3,8.8,25,14,61,8.5,18-Sep,7,Sacha Huasi,2006
AA0503 ,H. ochraceiceps,0,5,14.7,31.1,18.2,64,11.5,19-Sep,6,Sacha Huasi,2006
C1280,T. lawrencii,0,4,17.8,45.8,28.7,112,70,19-Sep,6,Sacha Huasi,2006
C1281,T. albicollis,0,5,20.9,43.1,34.9,107,,19-Sep,6,Sacha Huasi,2006
B0164,P. ruficaudatus,0,5,22.4,43.8,19.6,87,35,19-Sep,6,Sacha Huasi,2006
A0459,M. marginatus,0,5,20.2,39,26.6,66,19.1,19-Sep,6,Sacha Huasi,2006
A0460,P. albifrons,0,5,16,35.1,22.3,69,19,19-Sep,6,Sacha Huasi,2006
AA0369,G. spirurus,1,,,,,,,19-Sep,7,Sacha Huasi,2006
AA0504,G. spirurus,0,5,12.4,28.7,16.3,68,15.3,19-Sep,7,Sacha Huasi,2006
,P. hispidus,0,5,34.1,43.5,,52,4.1,19-Sep,8,Sacha Huasi,2006
AA0505,H. ochraceiceps,0,5,15.8,30.7,19.7,60,12,19-Sep,8,Sacha Huasi,2006
B0165,X. ocellatus,0,5,34,54.1,20.7,102,40,19-Sep,8,Sacha Huasi,2006
A0461,T. surinamus,0,4,16.2,32.1,19.5,77,,19-Sep,8,Sacha Huasi,2006
B0166,M. myotherinus,0,4,17.4,35,28,64,22,19-Sep,8,Sacha Huasi,2006
AA0506,L. coronata,0,4,9.6,25.1,13.4,60,8.7,19-Sep,8,Sacha Huasi,2006
AA0507,M. oleagineus,0,5,11.7,26,15.1,62,9.7,19-Sep,10,Sacha Huasi,2006
B0167,S. caudacutus,0,1,22.8,45.7,19.7,96,34.4,20-Sep,6,Sacha Huasi,2006
A0462,C. torquata,0,5,17.2,35,27.5,68,17.5,20-Sep,6,Sacha Huasi,2006
A0463,C. nigrescens,0,3,16.8,35.2,18.8,70,17,20-Sep,6,Sacha Huasi,2006
A0464,P. albifrons,0,5,18.2,35.3,23.3,69,21,20-Sep,6,Sacha Huasi,2006
B0168,S. caudacutus,0,5,21.3,44.2,24.9,91,35.5,20-Sep,6,Sacha Huasi,2006
A0465,P. albifrons,0,5,19.2,35.9,27.1,70,20,20-Sep,6,Sacha Huasi,2006
B0169,G. leucaspis,1,5,19.7,38,28.9,74,24,20-Sep,6,Sacha Huasi,2006
A0466,M. marginatus,0,5,16.8,37.9,24,57,16,20-Sep,6,Sacha Huasi,2006
B0170,D. fuliginosa,0,5,32.2,55.6,27.9,109,44,20-Sep,6,Sacha Huasi,2006
A0467,C. nigrescens,0,3,17.1,36.1,20.2,66,16.5,20-Sep,6,Sacha Huasi,2006
B0163,G. leucaspis,1,5,,,,,24.3,20-Sep,6,Sacha Huasi,2006
AA0508,M. oleagineus,0,5,11.3,29.2,17,63,10.9,20-Sep,6,Sacha Huasi,2006
AA0509,M. oleagineus,0,5,12.3,28,14.1,59,11.3,20-Sep,6,Sacha Huasi,2006
,G. hirsuta,0,3,35.1,44.8,,65,7.1,20-Sep,7,Sacha Huasi,2006
,G. hirsuta,0,2,30.9,44.1,,59,6.7,20-Sep,7,Sacha Huasi,2006
AA0510,M. hauxwelli,0,4,14.1,32.3,19,31,10.5,20-Sep,7,Sacha Huasi,2006
,G. hirsuta,0,3,34.1,46.4,,58,8.4,20-Sep,7,Sacha Huasi,2006
A0468,C. arada,0,5,21,39.6,22.3,67,24.5,20-Sep,7,Sacha Huasi,2006
,P. malaris,0,5,44.8,56.8,,58,6.9,20-Sep,8,Sacha Huasi,2006
B0171,D. fuliginosa,0,5,29.2,55.6,29.3,,,20-Sep,8,Sacha Huasi,2006
,P. malaris,0,5,43.3,55.7,,65,7.1,20-Sep,8,Sacha Huasi,2006
A0469,H. leucostica,0,5,18.7,36.6,25.5,55,15.5,20-Sep,8,Sacha Huasi,2006
B0090,H. subulatus,1,5,23.6,47.9,25.2,84,30,20-Sep,8,Sacha Huasi,2006
B0163,G. leucaspis,1,5,19.3,37.5,29.9,72,24,20-Sep,8,Sacha Huasi,2006
,G. hirsuta,0,3,30.7,45.8,,59,7.6,20-Sep,8,Sacha Huasi,2006
A0470,P. rufiventris,0,4,13.6,31.7,13.6,57,14.9,20-Sep,8,Sacha Huasi,2006
,P. malaris,0,5,46.5,56.5,,53,6.7,20-Sep,9,Sacha Huasi,2006
,P. bourcieri,0,5,33.6,45.9,,58,4.3,20-Sep,9,Sacha Huasi,2006
,T. niger,0,5,34.6,47.9,,54,5.9,20-Sep,10,Sacha Huasi,2006
,C. americana,0,3,45.9,68.7,8.1,77,30.3,21-Sep,6,Sacha Huasi,2006
A0471,T. caesius,0,4,18.2,35.9,17.3,71,17.5,21-Sep,6,Sacha Huasi,2006
,T. niger,0,5,35.8,49.2,,65,6.8,21-Sep,6,Sacha Huasi,2006
HBA43834,P. malaris,1,5,47.2,58.8,,55,6.9,21-Sep,7,Sacha Huasi,2006
A0472,P. albifrons,0,5,15.1,35.5,24.3,70,,21-Sep,7,Sacha Huasi,2006
AA0511,M. oleagineus,0,5,12.6,27.2,13.3,56,,21-Sep,7,Sacha Huasi,2006
A0473,C. caeruleus,0,4,18.3,35,14.7,53,11,21-Sep,7,Sacha Huasi,2006
A0474,H. rubica,0,4,14.8,36.7,21.6,87,28,21-Sep,7,Sacha Huasi,2006
A0475,C. caeruleus,0,3,17.6,34.1,14.2,58,11.1,21-Sep,7,Sacha Huasi,2006
AA0512,G. spirurus,0,5,13,30,14.9,72,,21-Sep,7,Sacha Huasi,2006
AA0274,H. ochraceiceps,1,5,15.5,31.6,18.4,64,12.2,21-Sep,7,Sacha Huasi,2006
AA0242,L. coronata,1,4,9.9,26.8,12.4,56,10.1,21-Sep,7,Sacha Huasi,2006
C1282,M. fusca,0,5,27.2,56.5,17,90,46,21-Sep,7,Sacha Huasi,2006
A0476,P. erythrocephala,0,4,11.9,29.2,11.6,60,13,21-Sep,7,Sacha Huasi,2006
AA0513,G. spirurus,0,5,12.8,28.3,17.3,64,11.5,21-Sep,7,Sacha Huasi,2006
A0477,T. ardesiacus,0,4,17.6,36.3,18,71,17,21-Sep,7,Sacha Huasi,2006
AA0514,M. oleagineus,0,5,13.1,28.2,17.4,59,9.5,21-Sep,7,Sacha Huasi,2006
A0478,T. caesius,0,4,17.9,35.3,16.7,66,18.5,21-Sep,7,Sacha Huasi,2006
B0172,X. ocellatus,0,5,34.9,57.6,26.5,106,38,21-Sep,7,Sacha Huasi,2006
,G. hirsuta,0,3,33.6,47,,61,7.3,21-Sep,7,Sacha Huasi,2006
A0479,T. ardesiacus,0,4,17,37,16.9,71,17.5,21-Sep,7,Sacha Huasi,2006
,C. largipennis,0,5,32.6,47.5,,74,8.5,21-Sep,7,Sacha Huasi,2006
A0480,T. caesius,0,4,18,36,15.5,68,16.6,21-Sep,7,Sacha Huasi,2006
A0481,O. angolensis,0,3,7.3,24.9,15.3,58,11.1,21-Sep,7,Sacha Huasi,2006
,C. americana,0,3,45.6,67.9,7.8,77,29,21-Sep,7,Sacha Huasi,2006
,C. amazona,0,3,68,112,,133,111,21-Sep,8,Sacha Huasi,2006
A0482,T. ardesiacus,0,3,,,,76,19,21-Sep,8,Sacha Huasi,2006
,G. hirsuta,0,3,,,,62,7.6,21-Sep,8,Sacha Huasi,2006
A0483,H. poecilinota,0,4,,,,67,19.5,21-Sep,8,Sacha Huasi,2006
AA0515,L. coronata,0,4,,,,57,9.7,21-Sep,8,Sacha Huasi,2006
B0092,D. fuliginosa,1,5,,,,112,41.3,21-Sep,8,Sacha Huasi,2006
AA0516,M. oleagineus,0,5,,,,61,10.7,21-Sep,8,Sacha Huasi,2006
AA0517,G. spirurus,0,5,,,,64,15.5,21-Sep,8,Sacha Huasi,2006
A0484,P. albifrons,0,5,,,,70,21,21-Sep,9,Sacha Huasi,2006
A0485,P. filicauda,0,4,,,,66,17.3,21-Sep,9,Sacha Huasi,2006
AA0518,M. axillaris,0,3,,,,51,8.8,21-Sep,9,Sacha Huasi,2006
AA0519,M. oleagineus,0,5,,,,65,11.3,21-Sep,9,Sacha Huasi,2006
,C. americana,0,3,,,,76,29,21-Sep,10,Sacha Huasi,2006
B0174,S. leucostigma,0,3,,,,70,28.2,21-Sep,10,Sacha Huasi,2006
AA0512,G. spirurus,1,5,,,,,,21-Sep,10,Sacha Huasi,2006
A0486,M. marginatus,0,5,,,,59,20.6,21-Sep,10,Sacha Huasi,2006
B0172,X. ocellatus,1,5,,,,,37.3,21-Sep,10,Sacha Huasi,2006
AA0520,M. hauxwelli,0,4,,,,55,11.3,21-Sep,10,Sacha Huasi,2006
,M. erythrura,0,4,,,,51,9.6,21-Sep,10,Sacha Huasi,2006
AA0521,L. coronata,0,3,,,,60,8.8,21-Sep,10,Sacha Huasi,2006
A0488,M. myotherinus,0,4,18.2,37.7,25.4,65,21.4,16-Jun,6,San Jose,2007
AA0522,L. coronata,0,4,10.8,26.5,15.4,57,10.5,16-Jun,6,San Jose,2007
HBA43879,P. malaris,0,0,42.8,57.9,,66,6.7,16-Jun,6,San Jose,2007
A0489,M. myotherinus,0,3,17.8,38.4,26.3,62,21,16-Jun,8,San Jose,2007
A0490,M. myotherinus,0,4,18.8,35.8,28.9,65,21,16-Jun,9,San Jose,2007
AA0523,M. regulus,0,4,10.9,26.1,14.2,52,10.2,16-Jun,9,San Jose,2007
HBA43881,P. malaris,0,0,45,55.1,,60,6.6,16-Jun,11,San Jose,2007
A0402,H. naevia,1,3,17.9,35.2,24.9,63,13.8,17-Jun,6,San Jose,2007
HBA43882,T. niger,0,4,34.5,47.8,,60,5.8,17-Jun,8,San Jose,2007
AA0524,M. regulus,0,4,8.9,25,17.4,52,10.5,17-Jun,9,San Jose,2007
B0174,C. cyanoides,0,4,16.3,36.1,19.2,75,22.5,18-Jun,6,San Jose,2007
A0491,H. naevia,0,3,17.2,34.9,18.4,60,13.5,18-Jun,6,San Jose,2007
AA0525,M. hauxwelli,0,3,14.6,31.7,18.5,53,11.5,18-Jun,6,San Jose,2007
AA0526,M. hauxwelli,0,3,15.8,32.5,19.6,51,10.75,18-Jun,6,San Jose,2007
AA0527,G. spirurus,0,0,10.2,30.5,10.6,70.3,13.5,18-Jun,6,San Jose,2007
HBA43883,P. malaris,0,0,42.7,61.2,,60,6.9,18-Jun,6,San Jose,2007
AA0528,M. axillaris,0,4,14.5,29.9,15.7,54,8.8,18-Jun,6,San Jose,2007
A0492,R. olivaceous,0,0,17.7,37.3,16.9,71,22.1,18-Jun,7,San Jose,2007
A0493,P. erythrocephala,0,4,9.5,27.9,14.1,62,15.7,18-Jun,7,San Jose,2007
A0494,R. olivaceous,0,0,18,36.6,19.7,75,22.5,18-Jun,7,San Jose,2007
AA0529,M. hauxwelli,0,3,13.4,31.5,18.6,50.4,10.5,18-Jun,7,San Jose,2007
AA0530,M. hauxwelli,0,4,14.8,32.1,12.7,54,12,18-Jun,7,San Jose,2007
HBA43884,T. furcata,0,4,23.9,36,,56,4.5,18-Jun,8,San Jose,2007
B0175,X. spixii,0,0,33.6,56.6,23.1,102,41.2,18-Jun,9,San Jose,2007
HBA43885,P. malaris,0,0,44.5,56.1,,65,7,18-Jun,9,San Jose,2007
A0495,M. regulus,0,4,10.3,26.5,14.2,52,10.7,18-Jun,9,San Jose,2007
A0496,H. naevia,0,3,16,33.6,21.7,64,12.8,18-Jun,11,San Jose,2007
AA0531,M. hauxwelli,0,3,12.2,30.6,28.1,51,12.2,18-Jun,11,San Jose,2007
AA0532,L. coronata,0,4,10.6,27.1,14.6,60,9.4,19-Jun,6,San Jose,2007
AA0533,G. spirurus,0,5,13,30.5,17.3,75,15.8,19-Jun,6,San Jose,2007
AA0534,G. spirurus,0,5,13.9,30.1,16,68,15.2,19-Jun,7,San Jose,2007
A0497,H. naevia,0,4,17.2,34.2,19.1,62,14.8,19-Jun,7,San Jose,2007
AA0535,G. spirurus,0,5,12.8,29.6,16.3,66,13.8,19-Jun,8,San Jose,2007
A0498,P. filicauda,0,3,12.2,31.3,16,66,15.8,19-Jun,8,San Jose,2007
B0176,C. arada,0,5,19.5,38.8,22.4,64,25,19-Jun,8,San Jose,2007
AA0536,L. coronata,0,4,10.3,27,14.3,59,10.9,19-Jun,8,San Jose,2007
B0177,C. arada,0,5,21,40.2,24.7,68,26.6,19-Jun,8,San Jose,2007
A0499,T. ardesiacus,0,3,19,37.8,19.3,70,18.3,19-Jun,8,San Jose,2007
A0500,H. poecilinota,0,4,17.3,36.3,23.8,62,17.4,19-Jun,8,San Jose,2007
AA0537,G. spirurus,0,5,12.7,29.3,16.6,65,14,19-Jun,8,San Jose,2007
AA0538,G. spirurus,0,5,12.6,29.4,15.5,66,14.8,19-Jun,8,San Jose,2007
,H. leucostica,0,5,17.8,36.3,22.6,56,15.8,19-Jun,8,San Jose,2007
C1283,T. albicollis,0,5,20.8,46,29.6,106,53.5,19-Jun,8,San Jose,2007
D0014,M. momota,0,5,46,73.2,30.8,132,122,19-Jun,8,San Jose,2007
,P. filicauda,0,3,11.5,27.8,13.9,65,13,19-Jun,9,San Jose,2007
HBA43886,P. malaris,0,0,48,58.3,,65,7.2,19-Jun,9,San Jose,2007
,H. naevia,0,3,17,33.8,22.4,61,13.6,19-Jun,9,San Jose,2007
C1284,G. montana,0,3,21.5,41.9,28.1,134,118,19-Jun,10,San Jose,2007
A0030,P. albifrons,1,5,16.1,35.4,24.4,,,19-Jun,10,San Jose,2007
AA0539,M. hauxwelli,0,4,13.6,30,21.3,54,12.5,19-Jun,10,San Jose,2007
B0178,P. ruficaudatus,0,5,21.6,45.4,25.4,94,38,22-Jun,7,San Jose,2007
AA0540,L. coronata,0,4,10.4,26.5,15,59,9.2,22-Jun,9,San Jose,2007
B0179,X. spixii,0,5,28.8,51.9,21.4,93,40,22-Jun,9,San Jose,2007
A0501,H. leucostica,0,5,18.4,36.2,24.7,56,17,22-Jun,9,San Jose,2007
A0502,T. caesius,0,4,18,37.5,20.5,70,12.6,22-Jun,9,San Jose,2007
A0503,P. erythrocephala,0,3,11,29.3,13.4,60,19,22-Jun,9,San Jose,2007
AA0541,L. coronata,0,4,8.9,26,14.5,58,9.3,24-Jun,7,Bigay,2007
AA0542,L. coronata,0,4,,,,,,24-Jun,8,Bigay,2007
A0504,P. polychopterus,0,3,14.4,37.3,15.6,73,22,24-Jun,8,Bigay,2007
A0505,C. holochlora,0,4,13.6,30,15.3,71,13.4,24-Jun,8,Bigay,2007
HBA43887,E. condamini,0,0,33.7,41.1,,78,13.9,24-Jun,8,Bigay,2007
C1285,P. erythroptera,0,4,22.4,44.7,31.8,90,52.5,24-Jun,8,Bigay,2007
AA0543,L. coronata,0,4,9.6,29.8,15.3,57,15,24-Jun,8,Bigay,2007
AA0544,L. coronata,0,4,10.4,26.7,15,57,10.1,24-Jun,9,Bigay,2007
HBA43888,P. bourcieri,0,0,40.1,46.1,,57,4.4,24-Jun,9,Bigay,2007
HBA43889,T. niger,0,0,33.8,44,,53,5.9,24-Jun,9,Bigay,2007
HBA43890,P. malaris,0,0,42.4,59.1,,58,6.6,24-Jun,9,Bigay,2007
AA0454,L. coronata,0,3,10.5,25.5,14.3,60,9.4,24-Jun,9,Bigay,2007
A0506,H. poecilinota,0,4,16.3,36.7,23.8,67,,25-Jun,6,Bigay,2007
A0507,T. ardesiacus,0,4,17.5,36.4,19.6,72,19.5,25-Jun,6,Bigay,2007
