Species,English,Family,Hab,Ev,Abund,Snst,Strat,Ind
Tachyphonus surinamus,Fulvous-crested Tanager,THRAUPIDAE,T,M (P),U,M,U/M,
Tachyphonus luctuosus,White-shouldered Tanager,THRAUPIDAE,T,S,U,M,M/C,
Ramphocelus nigrogularis,Masked Crimson Tanager,THRAUPIDAE,R,S,U,M,U/C,
Ramphocelus carbo,Silver-beaked Tanager,THRAUPIDAE,S/R,S (P),C,L,U/C,
Lanio fulvus,Fulvous Shrike-Tanager,THRAUPIDAE,T,S/M,U,H,C,I
Cyanerpes caeruleus,Purple Honeycreeper,THRAUPIDAE,T/V,S,U,M,C,
Dacnis lineata,Black-faced Dacnis,THRAUPIDAE,T/V,S,U,M,C,
Dacnis cayana,Blue Dacnis,THRAUPIDAE,T,S,U,L,C,
Sporophila castaneiventris,Chestnut-bellied Seedeater,THRAUPIDAE,SC,S,U,L,U,
Sporophila angolensis,Chestnut-bellied Seed Finch,THRAUPIDAE,R,S/V/M,C,L,U/M,
Saltator maximus,Buff-throated Saltator,THRAUPIDAE,T/S,M,U,L,M/C,
Coereba flaveola,Bananaquit,THRAUPIDAE,S,S,U,L,C,
Paroaria gularis,Red-capped Cardinal,THRAUPIDAE,S/R,S,U,L,T/M,
Cissopis leverianus,Magpie Tanager,THRAUPIDAE,S/R,S,C,L,U/C,
Tangara nigrocincta,Masked Tanager,THRAUPIDAE,T/S,S,U,M,C,
Tangara mexicana,Turquoise Tanager,THRAUPIDAE,S/V,S,U,M,C,
Tangara chilensis,Paradise Tanager,THRAUPIDAE,T/S,S,U,M,U/C,
Tangara schrankii,Green-and-gold Tanager,THRAUPIDAE,T/V,S/M (P),U,H,M/C,
Thraupis episcopus,Blue-grey Tanager,THRAUPIDAE,T/S,S/V,F,L,C,
Thraupis palmarum,Palm Tanager,THRAUPIDAE,T/S,S/V,F,L,C,
Ixothraupis xanthogastra,Yellow-bellied Tanager,THRAUPIDAE,T,S/M (P),U,H,C,
Ammodramus aurifrons,Yellow-browed Sparrow,EMBERIZIDAE,SC/AG,S,U,L,T,
Arremon aurantiirostris,Orange-billed Sparrow,EMBERIZIDAE,T,S,R,M,T,
Habia rubica,Red-crowned Ant Tanager,CARDINALIDAE,T,S/M (P),U,H,U/M,
Cyanoloxia cyanoides,Blue-black Grosbeak,CARDINALIDAE,T/S,M (P),F,M,U,
Myiothlypis fulvicauda,Buff-rumped Warbler,PARULIDAE,T,S/M,U,M,T,
Psarocolius angustifrons,Russet-backed Oropendola,ICTERIDAE,T/S/V/R,S/V,A,L,C,
Psarocolius viridis,Green Oropendola,ICTERIDAE,T,S/V,U,H,C,
Psarocolius decumanus,Crested Oropendola,ICTERIDAE,T/S/V/R,S/V (P),A,M,C,
Cacicus solitarius,Solitary Black Cacique,ICTERIDAE,S,S,U,L,U/M,
Cacicus cela,Yellow-rumped Cacique,ICTERIDAE,T/S/V,S,A,L,M/C,
Cacicus oseryi,Casqued Cacique,ICTERIDAE,T,S,U,H,C,
Icterus croconotus,Orange-backed Troupial,ICTERIDAE,S/AG,S,U,L,C,
Icterus cayanensis,Epaulet Oriole,ICTERIDAE,S,S,U,L,C,
Gymnomystax mexicanus,Oriole Blackbird,ICTERIDAE,SC,S,U,L,U/M,
Molothrus oryzivorus,Giant Cowbird,ICTERIDAE,R,S,U,L,T/C,
Molothrus bonariensis,Shiny Cowbird,ICTERIDAE,R,S,F,L,T/C,
Euphonia minuta,White-vented Euphonia,FRINGILLIDAE,T/S,S,U,M,C,
Euphonia xanthogaster,Orange-bellied Euphonia,FRINGILLIDAE,T/S,S/M (P),C,M,U/C,
Euphonia rufiventris,Rufous-bellied Euphonia,FRINGILLIDAE,T,S/M,F,M,C,
