Species,English,Family,Hab,Ev,Abund,Snst,Strat,Ind
Bubulcus ibis,Cattle Egret,ARDEIDAE,R,S,F,L,T,
Ardea cocoi,Cocoi Heron,ARDEIDAE,R,S,U,L,T/W,
Ardea alba,Great Egret,ARDEIDAE,R,S,F,L,T/W,
Pilherodius pileatus,Capped Heron,ARDEIDAE,R,S,U,M,T/W,
Egretta thula,Snowy Egret,ARDEIDAE,R,S,F,L,T/W,
Egretta caerulea,Little Blue Heron,ARDEIDAE,R,S (P),U,M,T/W,
Mesembrinibis cayennensis,Green Ibis,THRESKIORNITHIDAE,R,S,U,M,T,
Phimosus infuscatus,Bare-faced Ibis,THRESKIORNITHIDAE,M,S,R,M,T,
Platalea ajaja,Roseate Spoonbill,THRESKIORNITHIDAE,R,S,R,M,W,
Cathartes aura,Turkey Vulture,CATHARTIDAE,AG,S,C,L,T/A,
Cathartes melambrotus,Greater Yellow-headed Vulture,CATHARTIDAE,T,S (P),C,M,T/A,
Coragyps atratus,Black Vulture,CATHARTIDAE,SC,S,C,L,T/A,
Sarcoramphus papa,King Vulture,CATHARTIDAE,T,S,U,M,T/A,
Pandion haliaetus,Osprey,ACCIPITRIDAE,R,S,U,M,W,
Elanoides forficatus,Swallow-tailed Kite,ACCIPITRIDAE,T,S (P),F,M,C/A,
Harpagus bidentatus,Double-toothed Kite,ACCIPITRIDAE,T,S,U,M,C,
Ictinia plumbea,Plumbeous Kite,ACCIPITRIDAE,T,S,F,M,C/A,
Accipiter superciliosus,Tiny Hawk,ACCIPITRIDAE,R,S,R,H,C,
Buteogallus schistaceus,Slate-coloured Hawk,ACCIPITRIDAE,V,M (P),R,H,U/M,
Buteogallus urbitinga,Great Black Hawk,ACCIPITRIDAE,T/R,S,R,L,T/C,
Rupornis magnirostris,Roadside Hawk,ACCIPITRIDAE,S/T,S/V,F,L,C,
Leucopternis albicollis,White Hawk,ACCIPITRIDAE,T,S (Pc),R,H,C,
Megascops choliba,Tropical Screech Owl,STRIGIDAE,S,V,U,L,C,
Lophostrix cristata,Crested Owl,STRIGIDAE,T,V,U,H,C,
Pulsatrix perspicillata,Spectacled Owl,STRIGIDAE,T,S/V,U,M,C,
Glaucidium brasilianum,Ferruginous Pygmy Owl,STRIGIDAE,S/T,S/M,U,L,C,
Pharomachrus pavoninus,Pavonine Quetzal,TROGONIDAE,T,S,U,H,M/C,
Trogon melanurus,Black-tailed Trogon,TROGONIDAE,T/V,S,U,M,C,
Trogon viridis,Green-backed Trogon,TROGONIDAE,T,S/V,F,M,C,
Trogon ramonianus,Amazonian Trogon,TROGONIDAE,S/T,S/V,U,M,C,
Trogon curucui,Blue-crowned Trogon,TROGONIDAE,T/R,S,U,M,C,
Megaceryle torquata,Ringed Kingfisher,ALCEDINIDAE,R,S,F,L,U/C,
Chloroceryle amazona,Amazon Kingfisher,ALCEDINIDAE,R,S/M,C,L,U/M,
Chloroceryle americana,Green Kingfisher,ALCEDINIDAE,R,S/M,C,L,U,
Chloroceryle inda,Green-and-rufous Kingfisher,ALCEDINIDAE,V,M (P),U,M,U,
Chloroceryle aenea,American Pygmy Kingfisher,ALCEDINIDAE,R/T,M (P),U,M,U,
Electron platyrhynchum,Broad-billed Motmot,MOMOTIDAE,T,S,U,M,M,
Baryphthengus martii,Rufous Motmot,MOMOTIDAE,T,M,U,M,U/M,
Momotus momota,Amazonian Motmot,MOMOTIDAE,T/S/V,S/V/M (P),C,M,U/M,
Galbula albirostris,Yellow-billed Jacamar,GALBULIDAE,T,S/M (P),U,H,M,
Galbula tombacea,White-chinned Jacamar,GALBULIDAE,T/,S,U,L,M,
Jacamerops aureus,Great Jacamar,GALBULIDAE,T,S,U,H,M/C,
Bucco capensis,Collared Puffbird,BUCCONIDAE,T,S/M (P),U,H,C,
Malacoptila fusca,White-chested Puffbird,BUCCONIDAE,T,M (P),U,H,U,I
Nonnula brunnea,Brown Nunlet,BUCCONIDAE,T,M,U,H,U,
Monasa nigrifrons,Black-fronted Nunbird,BUCCONIDAE,T/V,S/M,F,M,M/C,
Monasa morphoeus,White-fronted Nunbird,BUCCONIDAE,S/T,S/M (P),C,H,M/C,
Monasa flavirostris,Yellow-billed Nunbird,BUCCONIDAE,S/T,S,U,M,M/C,
Chelidoptera tenebrosa,Swallow-winged Puffbird,BUCCONIDAE,T,S,R,L,C,
Capito auratus,Gilded Barbet,CAPITONIDAE,S/T,S/V/M (P),C,M,M/C,
Eubucco richardsoni,Lemon-throated Barbet,CAPITONIDAE,T/V,V,U,H,C,
Ramphastos tucanus,White-throated Toucan,RAMPHASTIDAE,T/S,S/V,A,H,C,
